Especie,Breed,Age (Years),Weight (kg),Gender
Cachorro,Labrador Retriever,6,29.2,Female
Cachorro,Rottweiler,1,54.3,Male
Cachorro,Whippet,4,14.2,Male
Cachorro,Weimaraner,2,29.1,Female
Cachorro,Akita,7,32.7,Female
Cachorro,Lhasa Apso,9,7.0,Male
Cachorro,Pekingese,7,3.8,Female
Cachorro,French Bulldog,4,10.2,Male
Cachorro,Akita,5,43.3,Male
Cachorro,West Highland White Terrier,6,8.9,Male
Cachorro,Shih Tzu,9,5.5,Male
Cachorro,Lhasa Apso,12,6.8,Female
Cachorro,Bull Terrier,3,33.6,Male
Cachorro,Shetland Sheepdog,10,9.5,Male
Cachorro,Boxer,4,30.1,Male
Cachorro,Labrador Retriever,3,25.2,Female
Cachorro,Dachshund,10,12.0,Female
Cachorro,Whippet,14,16.3,Male
Cachorro,Alaskan Malamute,2,41.7,Male
Cachorro,Havanese,2,4.2,Male
Cachorro,Golden Retriever,11,27.8,Female
Cachorro,Akita,9,40.6,Female
Cachorro,Saint Bernard,14,76.3,Female
Cachorro,Cavalier King Charles Spaniel,11,6.1,Female
Cachorro,French Bulldog,7,9.5,Female
Cachorro,Miniature Schnauzer,11,7.1,Male
Cachorro,Irish Setter,4,28.5,Male
Cachorro,Saint Bernard,12,79.1,Male
Cachorro,Boston Terrier,13,6.7,Female
Cachorro,Doberman Pinscher,3,27.3,Female
Cachorro,Whippet,3,18.1,Male
Cachorro,Bichon Frise,5,7.8,Male
Cachorro,Chihuahua,11,1.6,Female
Cachorro,Belgian Malinois,8,30.8,Male
Cachorro,German Shepherd,3,23.3,Female
Cachorro,Weimaraner,13,31.6,Female
Cachorro,Dachshund,5,11.3,Male
Cachorro,Pomeranian,5,2.4,Female
Cachorro,Alaskan Malamute,10,41.4,Male
Cachorro,Basenji,12,10.0,Female
Cachorro,Pembroke Welsh Corgi,13,11.7,Male
Cachorro,Golden Retriever,2,33.5,Male
Cachorro,Chinese Shar-Pei,6,19.8,Female
Cachorro,Pug,4,6.0,Female
Cachorro,Shiba Inu,8,10.1,Male
Cachorro,Labrador Retriever,5,31.5,Male
Cachorro,Bloodhound,14,48.5,Male
Cachorro,Cocker Spaniel,11,13.8,Male
Cachorro,Irish Setter,3,25.6,Female
Cachorro,West Highland White Terrier,12,9.9,Male
Cachorro,Chinese Shar-Pei,1,24.5,Male
Cachorro,Basenji,12,10.4,Male
Cachorro,Shih Tzu,10,4.5,Female
Cachorro,Cavalier King Charles Spaniel,3,7.9,Male
Cachorro,Maltese,14,3.1,Female
Cachorro,Golden Retriever,14,28.4,Male
Cachorro,French Bulldog,3,11.2,Male
Cachorro,Cavalier King Charles Spaniel,13,8.0,Male
Cachorro,Akita,10,57.1,Male
Cachorro,Alaskan Malamute,7,38.4,Female
Cachorro,Shih Tzu,9,5.9,Female
Cachorro,Lhasa Apso,10,6.7,Female
Cachorro,Basenji,2,9.7,Female
Cachorro,Yorkshire Terrier,2,2.2,Female
Cachorro,Cocker Spaniel,2,13.7,Male
Cachorro,Schnauzer,1,18.7,Male
Cachorro,Yorkshire Terrier,2,2.7,Male
Cachorro,Border Collie,8,15.3,Male
Cachorro,Golden Retriever,1,32.5,Male
Cachorro,Papillon,7,2.8,Female
Cachorro,French Bulldog,12,12.8,Male
Cachorro,Airedale Terrier,6,24.1,Male
Cachorro,Chihuahua,10,1.6,Female
Cachorro,Shiba Inu,13,9.6,Female
Cachorro,Bulldog,9,18.7,Female
Cachorro,French Bulldog,14,8.6,Female
Cachorro,Samoyed,6,21.5,Female
Cachorro,Pembroke Welsh Corgi,7,12.3,Female
Cachorro,Pomeranian,9,2.5,Male
Cachorro,Shih Tzu,14,4.6,Female
Cachorro,Samoyed,2,28.0,Male
Cachorro,Pembroke Welsh Corgi,5,12.5,Female
Cachorro,Pug,6,7.4,Male
Cachorro,Maltese,14,3.1,Female
Cachorro,Pekingese,13,3.0,Female
Cachorro,Shetland Sheepdog,10,6.9,Female
Cachorro,Irish Setter,13,27.5,Male
Cachorro,Bernese Mountain Dog,1,40.8,Female
Cachorro,Pug,6,6.9,Male
Cachorro,Dogo Argentino,7,41.8,Male
Cachorro,Cocker Spaniel,10,11.5,Female
Cachorro,Chesapeake Bay Retriever,2,29.2,Female
Cachorro,Basenji,2,9.3,Female
Cachorro,Shiba Inu,4,10.6,Male
Cachorro,Weimaraner,2,32.0,Female
Cachorro,Beagle,11,11.4,Female
Cachorro,Shetland Sheepdog,7,6.5,Female
Cachorro,Schnauzer,11,16.6,Male
Cachorro,Shih Tzu,1,5.9,Female
Cachorro,Rottweiler,8,50.2,Male
Cachorro,Maltese,12,3.5,Male
Cachorro,Australian Shepherd,7,21.1,Female
Cachorro,Belgian Malinois,12,32.1,Male
Cachorro,Miniature Schnauzer,5,8.9,Male
Cachorro,Basenji,10,9.4,Female
Cachorro,Australian Shepherd,3,25.6,Female
Cachorro,Pembroke Welsh Corgi,4,11.5,Male
Cachorro,Bloodhound,11,46.0,Male
Cachorro,Jack Russell Terrier,7,6.8,Female
Cachorro,Pekingese,7,3.2,Female
Cachorro,German Shepherd,3,23.6,Female
Cachorro,Schnauzer,2,15.6,Female
Cachorro,Airedale Terrier,11,28.8,Male
Cachorro,Maltese,8,3.4,Female
Cachorro,Maltese,9,4.0,Male
Cachorro,French Bulldog,9,10.6,Female
Cachorro,Miniature Schnauzer,12,7.6,Male
Cachorro,Jack Russell Terrier,12,7.0,Female
Cachorro,French Bulldog,5,8.1,Female
Cachorro,West Highland White Terrier,3,6.3,Female
Cachorro,Siberian Husky,12,25.8,Male
Cachorro,Bloodhound,10,48.2,Male
Cachorro,Saint Bernard,12,60.3,Female
Cachorro,Pomeranian,9,2.9,Male
Cachorro,Poodle,11,24.7,Female
Cachorro,Havanese,1,5.7,Male
Cachorro,Alaskan Malamute,12,40.7,Male
Cachorro,Shiba Inu,4,8.8,Female
Cachorro,Pembroke Welsh Corgi,1,11.0,Female
Cachorro,Basenji,6,9.6,Female
Cachorro,Boston Terrier,8,9.6,Male
Cachorro,Dachshund,8,14.3,Male
Cachorro,Alaskan Malamute,13,39.8,Male
Cachorro,Vizsla,5,21.6,Female
Cachorro,Great Dane,12,67.7,Male
Cachorro,Jack Russell Terrier,13,7.0,Female
Cachorro,Basenji,9,10.1,Female
Cachorro,Golden Retriever,3,25.6,Female
Cachorro,Bichon Frise,12,6.2,Male
Cachorro,Cocker Spaniel,10,11.1,Female
Cachorro,Bernese Mountain Dog,6,40.9,Male
Cachorro,Havanese,13,5.7,Male
Cachorro,Dogo Argentino,13,40.5,Male
Cachorro,Chinese Shar-Pei,2,23.3,Male
Cachorro,Irish Setter,8,31.6,Male
Cachorro,Boston Terrier,14,5.6,Female
Cachorro,Dogo Argentino,8,40.4,Male
Cachorro,Pekingese,2,3.3,Female
Cachorro,French Bulldog,6,8.4,Female
Cachorro,Saint Bernard,1,67.7,Male
Cachorro,Bull Terrier,8,22.6,Female
Cachorro,Boxer,14,25.8,Female
Cachorro,Boxer,9,25.2,Female
Cachorro,Belgian Malinois,5,31.2,Male
Cachorro,Havanese,6,5.4,Male
Cachorro,French Bulldog,3,9.3,Female
Cachorro,Irish Setter,1,25.7,Female
Cachorro,Border Collie,14,17.4,Male
Cachorro,Whippet,9,15.6,Female
Cachorro,Airedale Terrier,7,24.5,Female
Cachorro,French Bulldog,12,8.1,Female
Cachorro,Schnauzer,6,16.8,Male
Cachorro,Boxer,4,26.1,Female
Cachorro,Dachshund,9,11.1,Male
Cachorro,Bichon Frise,11,7.2,Male
Cachorro,Samoyed,13,24.7,Male
Cachorro,Rottweiler,10,35.8,Female
Cachorro,Bull Terrier,14,25.9,Female
Cachorro,Shetland Sheepdog,1,10.1,Male
Cachorro,Chesapeake Bay Retriever,11,25.7,Female
Cachorro,Airedale Terrier,8,27.9,Male
Cachorro,Akita,3,32.9,Female
Cachorro,Akita,11,48.2,Female
Cachorro,Maltese,9,3.1,Female
Cachorro,Chesapeake Bay Retriever,8,31.0,Female
Cachorro,Poodle,7,31.2,Male
Cachorro,Basenji,1,11.0,Male
Cachorro,Weimaraner,6,32.8,Female
Cachorro,Labrador Retriever,14,34.4,Male
Cachorro,Pembroke Welsh Corgi,3,11.7,Female
Cachorro,Akita,11,55.1,Male
Cachorro,Poodle,7,21.0,Female
Cachorro,Dogo Argentino,14,42.0,Male
Cachorro,Pug,9,7.4,Male
Cachorro,Yorkshire Terrier,5,2.7,Female
Cachorro,German Shepherd,1,33.7,Male
Cachorro,Doberman Pinscher,4,31.5,Female
Cachorro,Lhasa Apso,11,7.3,Male
Cachorro,Saint Bernard,5,61.1,Female
Cachorro,Bichon Frise,2,6.3,Male
Cachorro,Basenji,9,10.3,Male
Cachorro,Papillon,3,3.0,Female
Cachorro,Weimaraner,9,32.5,Male
Cachorro,Lhasa Apso,10,6.8,Male
Cachorro,Bernese Mountain Dog,9,36.8,Female
Cachorro,French Bulldog,8,9.1,Female
Cachorro,Bull Terrier,13,31.5,Male
Cachorro,Saint Bernard,10,70.6,Female
Cachorro,Whippet,4,12.5,Female
Cachorro,Cavalier King Charles Spaniel,7,6.9,Female
Cachorro,Pekingese,4,5.1,Female
Cachorro,Rottweiler,8,51.6,Male
Cachorro,Chesapeake Bay Retriever,8,27.3,Female
Cachorro,Miniature Schnauzer,3,6.4,Female
Cachorro,Doberman Pinscher,8,36.9,Female
Cachorro,Pekingese,12,5.7,Male
Cachorro,Boston Terrier,9,10.2,Male
Cachorro,Golden Retriever,5,28.1,Female
Cachorro,Poodle,4,29.1,Male
Cachorro,Vizsla,11,25.4,Male
Cachorro,Siberian Husky,1,25.1,Male
Cachorro,Airedale Terrier,3,20.3,Female
Cachorro,Dogo Argentino,11,43.0,Male
Cachorro,Golden Retriever,13,30.0,Female
Cachorro,Jack Russell Terrier,6,6.9,Male
Cachorro,Bichon Frise,5,6.2,Female
Cachorro,Shetland Sheepdog,3,6.4,Female
Cachorro,Bull Terrier,8,29.5,Female
Cachorro,Bull Terrier,11,22.9,Female
Cachorro,Pembroke Welsh Corgi,4,13.8,Male
Cachorro,Pomeranian,8,1.7,Female
Cachorro,Cavalier King Charles Spaniel,4,7.9,Male
Cachorro,Doberman Pinscher,2,36.4,Female
Cachorro,Beagle,14,10.9,Female
Cachorro,Rottweiler,5,56.5,Male
Cachorro,Miniature Schnauzer,6,8.5,Male
Cachorro,Great Dane,4,88.4,Male
Cachorro,Alaskan Malamute,3,35.5,Female
Cachorro,Cocker Spaniel,12,13.0,Male
Cachorro,Rottweiler,2,45.3,Male
Cachorro,Belgian Malinois,12,25.2,Female
Cachorro,Pekingese,11,3.4,Female
Cachorro,Irish Setter,12,26.9,Female
Cachorro,Shetland Sheepdog,4,10.3,Male
Cachorro,Boxer,5,29.6,Male
Cachorro,Bernese Mountain Dog,5,45.8,Male
Cachorro,Whippet,7,15.0,Female
Cachorro,Shiba Inu,10,9.6,Female
Cachorro,Bichon Frise,10,7.0,Male
Cachorro,Boxer,4,27.7,Female
Cachorro,Great Dane,8,88.0,Male
Cachorro,Alaskan Malamute,13,34.7,Female
Cachorro,Doberman Pinscher,5,28.4,Female
Cachorro,Belgian Malinois,12,25.3,Male
Cachorro,Labrador Retriever,14,29.7,Female
Cachorro,Pomeranian,13,2.0,Female
Cachorro,Pug,1,7.7,Male
Cachorro,West Highland White Terrier,11,9.1,Male
Cachorro,Weimaraner,14,33.5,Male
Cachorro,Cavalier King Charles Spaniel,1,7.8,Male
Cachorro,Maltese,1,3.5,Female
Cachorro,Papillon,1,2.9,Female
Cachorro,French Bulldog,5,9.2,Female
Cachorro,Chinese Shar-Pei,12,24.7,Male
Cachorro,Yorkshire Terrier,14,2.1,Female
Cachorro,Bichon Frise,6,5.3,Female
Cachorro,Pekingese,6,5.1,Female
Cachorro,Irish Setter,10,29.1,Male
Cachorro,Havanese,3,3.7,Female
Cachorro,Shiba Inu,11,10.5,Male
Cachorro,Cocker Spaniel,1,12.9,Male
Cachorro,Yorkshire Terrier,8,3.2,Male
Cachorro,Rottweiler,2,47.7,Female
Cachorro,Havanese,12,3.9,Female
Cachorro,Shih Tzu,10,4.8,Female
Cachorro,Doberman Pinscher,10,44.8,Male
Cachorro,Papillon,11,3.4,Female
Cachorro,Labrador Retriever,13,35.7,Male
Cachorro,Pembroke Welsh Corgi,1,10.3,Female
Cachorro,Great Dane,8,85.6,Male
Cachorro,Weimaraner,13,31.2,Female
Cachorro,Bernese Mountain Dog,7,33.6,Female
Cachorro,Shiba Inu,14,10.2,Male
Cachorro,West Highland White Terrier,8,7.8,Female
Cachorro,Chihuahua,11,1.5,Female
Cachorro,Pomeranian,10,2.8,Male
Cachorro,Great Dane,1,84.9,Male
Cachorro,Boston Terrier,12,6.2,Female
Cachorro,Miniature Schnauzer,12,7.6,Male
Cachorro,Bulldog,10,20.0,Female
Cachorro,Pomeranian,5,2.6,Male
Cachorro,Saint Bernard,13,75.9,Female
Cachorro,Cocker Spaniel,9,11.8,Female
Cachorro,Rottweiler,6,36.8,Female
Cachorro,Yorkshire Terrier,3,3.2,Male
Cachorro,Shih Tzu,13,5.8,Female
Cachorro,Poodle,12,22.2,Female
Cachorro,Labrador Retriever,12,31.0,Female
Cachorro,Yorkshire Terrier,12,2.1,Female
Cachorro,Australian Shepherd,6,26.4,Female
Cachorro,Australian Shepherd,5,28.5,Male
Cachorro,Dogo Argentino,2,39.2,Female
Cachorro,Pembroke Welsh Corgi,13,11.6,Male
Cachorro,Bulldog,13,22.1,Female
Cachorro,Bull Terrier,1,22.3,Female
Cachorro,Great Dane,3,52.0,Female
Cachorro,Samoyed,6,17.3,Female
Cachorro,Border Collie,5,18.8,Male
Cachorro,Dachshund,13,8.0,Female
Cachorro,Papillon,3,4.4,Male
Cachorro,Irish Setter,8,30.2,Male
Cachorro,Rottweiler,4,35.6,Female
Cachorro,Bichon Frise,6,5.0,Female
Cachorro,Chinese Shar-Pei,11,22.6,Male
Cachorro,Saint Bernard,7,81.0,Male
Cachorro,Belgian Malinois,5,33.7,Male
Cachorro,Miniature Schnauzer,10,7.0,Male
Cachorro,Dogo Argentino,9,44.0,Male
Cachorro,Akita,1,42.5,Male
Cachorro,Chinese Shar-Pei,11,28.4,Male
Cachorro,Cavalier King Charles Spaniel,11,7.9,Male
Cachorro,Dogo Argentino,12,40.0,Female
Cachorro,Alaskan Malamute,1,38.1,Female
Cachorro,Miniature Schnauzer,3,8.6,Male
Cachorro,Samoyed,7,16.4,Female
Cachorro,Havanese,14,4.4,Male
Cachorro,German Shepherd,13,29.8,Male
Cachorro,Beagle,13,10.6,Female
Cachorro,West Highland White Terrier,2,9.3,Male
Cachorro,Dogo Argentino,6,39.1,Female
Cachorro,Lhasa Apso,10,6.7,Female
Cachorro,Cavalier King Charles Spaniel,6,5.3,Female
Cachorro,Pug,3,7.0,Female
Cachorro,Border Collie,4,15.8,Male
Cachorro,Saint Bernard,12,73.4,Male
Cachorro,Rottweiler,4,55.3,Male
Cachorro,West Highland White Terrier,14,9.9,Male
Cachorro,Boxer,4,30.2,Male
Cachorro,Airedale Terrier,9,22.9,Male
Cachorro,Shih Tzu,6,6.4,Male
Cachorro,Beagle,14,10.9,Male
Cachorro,Bloodhound,12,48.9,Male
Cachorro,Bull Terrier,10,35.0,Male
Cachorro,Yorkshire Terrier,6,2.6,Male
Cachorro,Shih Tzu,2,4.2,Female
Cachorro,Rottweiler,14,38.0,Female
Cachorro,Pug,9,7.3,Female
Cachorro,Pomeranian,11,2.8,Male
Cachorro,Australian Shepherd,13,24.2,Female
Cachorro,Bernese Mountain Dog,8,40.3,Female
Cachorro,Yorkshire Terrier,8,2.9,Male
Cachorro,Saint Bernard,2,58.3,Female
Cachorro,Beagle,10,13.8,Male
Cachorro,Doberman Pinscher,14,36.8,Male
Cachorro,Rottweiler,1,44.4,Female
Cachorro,Boston Terrier,10,9.8,Male
Cachorro,Bernese Mountain Dog,5,40.4,Female
Cachorro,Golden Retriever,7,33.7,Male
Cachorro,Pug,1,6.2,Female
Cachorro,Whippet,12,13.6,Female
Cachorro,Samoyed,4,19.7,Female
Cachorro,Havanese,4,5.0,Male
Cachorro,Maltese,5,3.1,Female
Cachorro,Bulldog,11,18.6,Female
Cachorro,Weimaraner,2,27.7,Female
Cachorro,Airedale Terrier,13,24.5,Male
Cachorro,Rottweiler,11,50.7,Male
Cachorro,Havanese,1,5.2,Male
Cachorro,Cavalier King Charles Spaniel,5,7.3,Male
Cachorro,Bernese Mountain Dog,7,44.4,Male
Cachorro,Boston Terrier,9,8.7,Male
Cachorro,Chesapeake Bay Retriever,3,30.4,Male
Cachorro,Vizsla,13,27.3,Male
Cachorro,Havanese,2,3.6,Female
Cachorro,Bichon Frise,3,6.1,Male
Cachorro,Pekingese,2,4.0,Female
Cachorro,Chesapeake Bay Retriever,1,28.4,Female
Cachorro,Chinese Shar-Pei,2,19.8,Female
Cachorro,Dogo Argentino,7,38.7,Female
Cachorro,Chinese Shar-Pei,5,26.6,Male
Cachorro,Pomeranian,5,2.4,Female
Cachorro,Rottweiler,12,45.5,Female
Cachorro,Belgian Malinois,6,31.9,Male
Cachorro,Rottweiler,10,48.9,Male
Cachorro,Boxer,4,31.0,Male
Cachorro,Labrador Retriever,7,32.8,Male
Cachorro,Cocker Spaniel,11,10.5,Female
Cachorro,Weimaraner,1,36.4,Male
Cachorro,Doberman Pinscher,3,31.2,Female
Cachorro,Boston Terrier,14,7.0,Female
Cachorro,Dogo Argentino,1,39.8,Female
Cachorro,Lhasa Apso,8,7.8,Male
Cachorro,French Bulldog,8,11.0,Female
Cachorro,West Highland White Terrier,14,7.3,Female
Cachorro,German Shepherd,2,34.4,Male
Cachorro,Boston Terrier,5,10.2,Male
Cachorro,Weimaraner,10,28.1,Female
Cachorro,Bulldog,9,24.3,Male
Cachorro,Pug,12,7.3,Male
Cachorro,Lhasa Apso,1,5.2,Female
Cachorro,Jack Russell Terrier,4,6.8,Male
Cachorro,Dachshund,11,11.4,Female
Cachorro,Samoyed,5,16.5,Female
Cachorro,Basenji,11,10.1,Male
Cachorro,Cavalier King Charles Spaniel,7,6.7,Male
Cachorro,Bichon Frise,2,5.3,Female
Cachorro,Alaskan Malamute,14,35.8,Female
Cachorro,Schnauzer,4,16.9,Female
Cachorro,Boston Terrier,4,5.1,Female
Cachorro,Beagle,3,13.4,Male
Cachorro,Boxer,5,28.9,Female
Cachorro,Bichon Frise,5,5.7,Female
Cachorro,Jack Russell Terrier,11,6.9,Male
Cachorro,Saint Bernard,5,80.9,Male
Cachorro,Cocker Spaniel,10,11.4,Male
Cachorro,Siberian Husky,6,22.5,Male
Cachorro,Miniature Schnauzer,9,7.5,Female
Cachorro,Rottweiler,4,59.9,Male
Cachorro,Dachshund,7,11.0,Female
Cachorro,Akita,6,46.9,Male
Cachorro,Chesapeake Bay Retriever,4,33.8,Male
Cachorro,Alaskan Malamute,4,38.1,Female
Cachorro,French Bulldog,8,9.3,Female
Cachorro,Siberian Husky,1,24.4,Male
Cachorro,Weimaraner,10,30.4,Male
Cachorro,German Shepherd,8,24.4,Female
Cachorro,Rottweiler,11,52.3,Male
Cachorro,Labrador Retriever,13,30.0,Male
Cachorro,Bull Terrier,5,23.7,Female
Cachorro,Maltese,1,3.5,Female
Cachorro,Weimaraner,12,39.9,Male
Cachorro,Saint Bernard,13,67.6,Female
Cachorro,Poodle,11,26.5,Female
Cachorro,Beagle,13,14.0,Male
Cachorro,French Bulldog,12,8.5,Female
Cachorro,Akita,6,49.3,Male
Cachorro,Basenji,11,10.2,Male
Cachorro,Chesapeake Bay Retriever,4,25.6,Female
Cachorro,Great Dane,12,82.8,Male
Cachorro,Bulldog,7,20.0,Female
Cachorro,Border Collie,8,17.2,Male
Cachorro,Shiba Inu,1,8.3,Female
Cachorro,Samoyed,4,22.5,Male
Cachorro,Chinese Shar-Pei,3,29.3,Male
Cachorro,Boxer,1,25.2,Female
Cachorro,Dogo Argentino,8,40.0,Male
Cachorro,Poodle,1,26.5,Male
Cachorro,Chesapeake Bay Retriever,8,32.4,Male
Cachorro,Rottweiler,3,53.3,Male
Cachorro,Cavalier King Charles Spaniel,1,7.0,Male
Cachorro,Yorkshire Terrier,3,2.5,Male
Cachorro,Boston Terrier,7,8.1,Male
Cachorro,Rottweiler,13,48.7,Female
Cachorro,French Bulldog,1,10.1,Female
Cachorro,Shetland Sheepdog,13,8.5,Female
Cachorro,Bichon Frise,9,6.3,Female
Cachorro,Airedale Terrier,4,27.5,Male
Cachorro,French Bulldog,14,9.9,Male
Cachorro,Bloodhound,11,39.3,Female
Cachorro,Boston Terrier,4,9.2,Male
Cachorro,Rottweiler,7,40.5,Female
Cachorro,Cocker Spaniel,7,12.0,Female
Cachorro,Schnauzer,7,15.9,Female
Cachorro,Labrador Retriever,5,30.5,Female
Cachorro,Poodle,11,30.8,Male
Cachorro,Bichon Frise,3,6.0,Female
Cachorro,Alaskan Malamute,6,42.5,Male
Cachorro,Cavalier King Charles Spaniel,5,6.1,Female
Cachorro,Boxer,11,28.9,Female
Cachorro,Cocker Spaniel,3,12.1,Male
Cachorro,Rottweiler,1,51.9,Male
Cachorro,Shetland Sheepdog,10,10.2,Male
Cachorro,Vizsla,12,20.7,Female
Cachorro,Great Dane,2,72.4,Male
Cachorro,Yorkshire Terrier,11,2.7,Female
Cachorro,Alaskan Malamute,6,40.8,Male
Cachorro,Irish Setter,14,24.9,Female
Cachorro,Labrador Retriever,10,27.4,Female
Cachorro,Basenji,14,9.9,Male
Cachorro,Chinese Shar-Pei,6,18.2,Female
Cachorro,Bloodhound,9,44.4,Female
Cachorro,Bernese Mountain Dog,5,44.8,Male
Cachorro,Dachshund,13,8.6,Female
Cachorro,Chinese Shar-Pei,10,22.7,Female
Cachorro,Akita,1,32.1,Female
Cachorro,Havanese,14,3.5,Female
Cachorro,Shiba Inu,14,9.4,Female
Cachorro,Cocker Spaniel,13,13.2,Male
Cachorro,Border Collie,7,17.1,Female
Cachorro,Chihuahua,2,2.1,Female
Cachorro,Shiba Inu,2,10.0,Male
Cachorro,Chinese Shar-Pei,4,23.9,Female
Cachorro,Beagle,1,13.7,Male
Cachorro,Chesapeake Bay Retriever,4,34.0,Male
Cachorro,Airedale Terrier,2,25.3,Female
Cachorro,Whippet,4,17.9,Male
